Quarter,Company,Total Revenues,Cost of Revenues,Gross Profit,Total Operating Expenses,Operating Income,Net Income,Shares Outstanding,Close Stock Price,Market Cap,Multiple of Revenue
2020Q1,Amazon,75452,44257,31195,27206,3989,2535,10120,97.48599854,986.5583052,3.329884854
2020Q2,Amazon,88912,52660,36252,30409,5843,5243,10180,137.9410034,1404.239415,4.363946444
2020Q3,Amazon,96145,57106,39039,32845,6194,6331,10240,157.436499,1612.14975,4.63333319
2020Q4,Amazon,125555,79284,46271,39398,6873,7222,10200,162.8464966,1661.034265,4.302484213
2021Q1,Amazon,108518,62403,46115,37250,8865,8107,10260,154.7040039,1587.26308,3.787042398
2021Q2,Amazon,113080,64176,48904,41202,7702,7778,10280,172.0079956,1768.242195,3.988834136
2021Q3,Amazon,110812,62930,47882,43030,4852,3156,10300,164.252002,1691.79562,3.694159205
2021Q4,Amazon,137412,82835,54577,51117,3460,14323,10320,166.717,1720.51944,3.66206657
2022Q1,Amazon,116444,66499,49945,46276,3669,-3844,10180,163,1659.34,3.473253682
2022Q2,Amazon,121234,66424,54810,51493,3317,-2028,10175,106.21,1080.68675,2.224083766
2020Q1,Apple,58313,35943,22370,45460,12853,11249,17618.77,62.71077728,1104.886761,4.123004099
2020Q2,Apple,59685,37005,22680,46594,13091,11253,17419.15,90.20732117,1571.334859,5.737793295
2020Q3,Apple,64698,40009,24689,49923,14775,12673,17528.21,114.7559891,2011.467075,7.327348506
2020Q4,Apple,111439,67111,44328,77905,33534,28755,17113.69,131.709198,2254.030385,7.663251176
2021Q1,Apple,89584,51505,38079,62081,27503,23630,16929.16,121.4282913,2055.678972,6.317274335
2021Q2,Apple,81434,46179,35255,57308,24126,21744,16781.73,136.3820648,2288.726989,6.592810095
2021Q3,Apple,83360,48186,35174,59574,23786,20551,16864.92,141.1139984,2379.876294,6.50564707
2021Q4,Apple,123945,69702,54243,12755,41488,34630,16519.291,177.57,2933.330503,7.753508253
2022Q1,Apple,97278,54719,42559,12580,29979,25010,16403.3,174.61,2864.180213,7.419829212
2022Q2,Apple,82959,47074,35885,12809,23076,19442,16262.203,136.72,2223.368394,5.73710306
2020Q1,Google,41159,18982,22177,14200,7977,6836,13729.3,58.09749756,797.6379732,4.785531136
2020Q2,Google,38297,18553,19744,13361,6383,6959,13635.36,70.90250244,966.7811457,5.822930469
2020Q3,Google,46173,21117,25056,13843,11213,11247,13588.98,73.27999878,995.8004378,5.799517995
2020Q4,Google,56898,26080,30818,15167,15651,15227,13616.32,87.63200073,1193.225364,6.537254018
2021Q1,Google,55314,24103,31211,14774,16437,17930,13464.4,103.126001,1388.529728,7.059770226
2021Q2,Google,61880,26227,35653,16292,19361,18525,13379.158,122.089502,1633.454737,7.415861516
2021Q3,Google,65118,27621,37497,16466,21031,18936,13315.16,133.676001,1779.917341,7.440814937
2021Q4,Google,75325,32988,42337,20452,21885,20642,13252.66,144.6795,1917.388222,7.44220831
2022Q1,Google,68011,29599,38412,18318,20094,16436,13351.02,139.65,1864.469943,6.896912497
2022Q2,Google,69685,30104,39581,20128,19453,16002,13239,109.37,1447.94943,5.205848263
2020Q1,Meta,17737,3459,14278,8385,5893,4902,2868,166.8000031,478.3824088,6.521291884
2020Q2,Meta,18687,3829,14858,8895,5963,5178,2879,227.0700073,653.7345511,8.698136607
2020Q3,Meta,21470,4194,17276,9236,8040,7846,2891,261.8999939,757.1528824,9.587126245
2020Q4,Meta,28071,5210,22861,10086,12775,11220,2888,273.1600037,788.8860906,9.176828832
2021Q1,Meta,26171,5131,21040,9662,11378,9497,2882,294.5299988,848.8354565,8.991996276
2021Q2,Meta,29077,5399,23678,11311,12367,10394,2877,347.7099915,1000.361645,9.546437559
2021Q3,Meta,29010,5771,23239,12816,10423,9194,2859,339.3900146,970.3160519,8.638161578
2021Q4,Meta,33671,6348,27323,14738,12585,10285,2799,336.35,941.44365,7.983139431
2022Q1,Meta,27908,6005,21903,13379,8524,7465,2742,222.36,609.71112,5.095107382
2022Q2,Meta,28822,5192,23630,15272,8358,6687,2713,161.25,437.47125,3.663575801
2020Q1,Microsoft,35021,10975,24046,11071,12975,10752,7675,155.1822815,1191.02401,8.587113177
2020Q2,Microsoft,38033,12339,25694,12287,13407,11202,7683,200.8058929,1542.791675,10.78762141
2020Q3,Microsoft,37154,11002,26152,10276,15876,13893,7637,208.0369568,1588.778239,10.79964
2020Q4,Microsoft,43076,14194,28882,10985,17897,15463,7616,220.571106,1679.869543,10.95919693
2021Q1,Microsoft,41706,13045,28661,11613,17048,15457,7597,234.3486328,1780.346563,11.12932233
2021Q2,Microsoft,46152,13991,32161,13066,19095,16458,7608,269.8886108,2053.312551,12.21569982
2021Q3,Microsoft,45317,13646,31671,11433,20238,20505,7567,281.4051819,2129.393011,12.08159393
2021Q4,Microsoft,51728,16960,34768,12521,22247,18765,7555,336.32,2540.8976,13.74178677
2022Q1,Microsoft,49360,15615,33745,13381,20364,16728,7534,308.31,2322.80754,12.06296079
2022Q2,Microsoft,51865,16429,35436,14902,20534,16740,7506,256.83,1927.76598,9.722933273
2020Q1,Netflix,5767.691,3599.701,2167.99,1209.734,958.256,709.067,452.494,375.5,169.911497,7.938622157
2020Q2,Netflix,6148.286,3643.707,2504.579,1146.651,1357.928,720.196,453.945,455.0400085,206.5631367,9.128524082
2020Q3,Netflix,6435.637,3867.751,2567.886,1253.023,1314.863,789.976,455.088,500.0299988,227.5576521,9.553599394
2020Q4,Netflix,6644.443,4165.16,2479.283,1525.04,954.243,542.1559,454.208,540.7299805,245.603883,9.825705029
